ville;departement;code_insee;loyer_m2_2025_eur;loyer_m2_t1_t2_eur;loyer_m2_t3_plus_eur;loyer_m2_maison_eur;annonces_observees;evolution_loyer_2022_2025_pct;prix_vente_m2_2025_eur;ventes_2025;rendement_brut_pct
Montluçon;Allier;03185;8,86;11,84;7,99;8,27;11675;6,7;929;533;11,44
Saint-Étienne;Loire;42218;9,88;11,44;9,06;9,06;53838;3,5;1347;3379;8,81
Perpignan;Pyrénées-Orientales;66136;12,18;13,65;10,22;11,81;27793;13,0;1682;2129;8,69
Chalon-sur-Saône;Saône-et-Loire;71076;11,35;12,12;10,25;10,14;11124;-1,6;1579;862;8,63
Tarbes;Hautes-Pyrénées;65440;10,31;11,92;9,08;9,90;13922;11,1;1520;925;8,14
Belfort;Territoire de Belfort;90010;10,43;12,23;9,45;10,56;14044;7,3;1555;891;8,05
Troyes;Aube;10387;11,11;13,68;9,77;10,41;18840;1,2;1705;978;7,82
Évreux;Eure;27229;12,51;15,93;10,92;10,68;9346;8,6;1948;568;7,71
Roanne;Loire;42187;9,54;11,18;8,12;9,20;13287;12,2;1490;838;7,68
Charleville-Mézières;Ardennes;08105;9,58;11,38;8,36;8,82;10598;7,8;1500;393;7,67
Bourges;Cher;18033;11,40;14,41;9,90;9,62;11948;8,4;1810;686;7,56
Tourcoing;Nord;59599;13,17;15,44;11,60;10,12;10688;7,5;2108;595;7,50
Corbeil-Essonnes;Essonne;91174;16,23;19,01;14,51;14,41;9641;9,1;2638;491;7,38
Nîmes;Gard;30189;14,64;14,32;12,03;12,12;30684;25,4;2404;2168;7,31
Compiègne;Oise;60159;14,72;17,01;13,85;13,44;10001;11,2;2460;470;7,18
Cergy;Val-d'Oise;95127;18,49;21,32;16,87;16,50;11217;12,9;3187;454;6,96
Annemasse;Haute-Savoie;74012;20,99;22,58;20,67;19,31;11387;25,5;3634;655;6,93
Saint-Brieuc;Côtes-d'Armor;22278;11,36;13,24;10,08;9,71;9539;15,6;1971;753;6,91
Saint-Denis;La Réunion;97411;15,09;17,11;14,14;14,92;14748;13,9;2642;1107;6,86
Limoges;Haute-Vienne;87085;10,36;13,39;9,96;10,03;39985;2,6;1830;2068;6,79
Melun;Seine-et-Marne;77288;16,17;18,83;14,34;14,08;13593;8,7;2868;430;6,77
Le Mans;Sarthe;72181;11,77;13,55;10,54;9,78;25658;6,4;2097;1517;6,73
Valence;Drôme;26362;11,93;14,01;10,56;11,42;14916;10,3;2130;986;6,72
Besançon;Doubs;25056;12,88;14,83;12,91;10,99;33421;4,1;2314;2002;6,68
Clermont-Ferrand;Puy-de-Dôme;63113;12,49;14,49;11,30;11,47;48197;10,7;2270;2169;6,60
Quimper;Finistère;29232;11,99;13,93;10,69;11,12;10629;11,7;2222;715;6,47
Brive-la-Gaillarde;Corrèze;19031;11,26;13,22;9,70;10,25;10085;13,2;2119;731;6,38
Meaux;Seine-et-Marne;77284;16,67;19,29;15,04;13,96;12263;9,9;3148;471;6,35
Chambéry;Savoie;73065;16,10;18,80;12,69;12,81;10368;23,9;3043;839;6,35
Pau;Pyrénées-Atlantiques;64445;12,05;13,83;11,00;11,64;24067;12,1;2289;1684;6,32
Orléans;Loiret;45234;14,25;14,75;11,59;11,46;27399;19,8;2710;1578;6,31
Villefranche-sur-Saône;Rhône;69264;12,92;14,66;11,85;12,03;11201;18,4;2456;548;6,31
Grenoble;Isère;38185;13,41;15,67;12,21;12,60;55295;6,5;2556;2566;6,30
Chartres;Eure-et-Loir;28085;13,13;15,07;11,91;11,73;9646;11,5;2528;506;6,23
Angoulême;Charente;16015;11,39;12,89;9,94;9,31;9796;9,0;2194;479;6,23
Montauban;Tarn-et-Garonne;82121;11,30;13,38;9,93;10,23;9528;7,3;2182;625;6,22
Agen;Lot-et-Garonne;47001;10,63;12,45;9,41;9,59;11945;8,3;2058;588;6,20
Béziers;Hérault;34032;11,16;13,14;9,71;11,30;18371;12,3;2180;1539;6,14
Le Havre;Seine-Maritime;76351;12,36;13,90;11,73;11,77;28607;11,4;2421;2092;6,13
Toulon;Var;83137;14,43;16,60;13,22;16,48;32136;10,5;2842;3070;6,09
Lorient;Morbihan;56121;13,37;15,54;11,92;12,56;10965;16,5;2698;805;5,95
Valenciennes;Nord;59606;12,11;14,15;10,42;9,64;14463;6,0;2447;579;5,94
Boulogne-sur-Mer;Pas-de-Calais;62160;11,45;13,31;10,09;9,54;9555;13,4;2346;459;5,86
Poitiers;Vienne;86194;12,18;13,98;11,04;9,91;29862;8,8;2532;1177;5,77
Nancy;Meurthe-et-Moselle;54395;12,15;14,11;10,99;12,05;57403;7,0;2527;2329;5,77
Marseille;Bouches-du-Rhône;13055;16,30;18,60;14,98;17,40;148089;13,2;3397;12453;5,76
Rodez;Aveyron;12202;10,62;11,91;9,72;9,19;11986;12,6;2217;576;5,75
Dijon;Côte-d'Or;21231;13,34;15,34;12,10;13,08;51194;9,5;2795;2864;5,73
Arras;Pas-de-Calais;62041;12,66;14,37;11,36;10,29;10171;10,1;2654;388;5,72
Roubaix;Nord;59512;13,28;15,67;11,80;9,48;9323;8,8;2816;485;5,66
Avignon;Vaucluse;84007;12,27;14,67;10,47;11,52;18575;4,1;2604;1286;5,65
Brest;Finistère;29019;12,18;15,27;10,66;10,85;30870;11,8;2593;2789;5,64
Laval;Mayenne;53130;11,16;12,86;9,99;9,32;12505;13,4;2393;606;5,60
Narbonne;Aude;11262;11,46;13,07;10,98;12,36;10527;14,7;2464;892;5,58
Colombes;Hauts-de-Seine;92025;23,54;27,14;21,23;22,25;9392;19,2;5080;691;5,56
Reims;Marne;51454;13,10;15,02;13,65;11,77;46502;10,0;2826;2236;5,56
Tours;Indre-et-Loire;37261;13,51;15,46;12,03;12,83;37946;10,3;2949;1985;5,50
Périgueux;Dordogne;24322;10,26;14,27;9,67;10,44;10414;20,0;2252;524;5,47
Amiens;Somme;80021;13,40;14,33;11,87;12,46;41032;-1,2;2958;1249;5,44
Rueil-Malmaison;Hauts-de-Seine;92063;24,52;27,36;23,48;25,69;13430;14,1;5487;754;5,36
Caen;Calvados;14118;13,83;15,96;12,25;12,68;34193;17,7;3116;1870;5,33
Rouen;Seine-Maritime;76540;13,28;15,38;11,68;12,33;53222;9,4;3000;2443;5,31
Antony;Hauts-de-Seine;92002;22,51;25,91;21,37;21,45;9468;12,4;5099;505;5,30
Montpellier;Hérault;34172;15,49;17,93;13,85;14,32;118801;8,1;3511;4718;5,29
Villeurbanne;Rhône;69266;15,63;18,07;14,40;15,69;37416;10,1;3566;2178;5,26
Angers;Maine-et-Loire;49007;14,56;16,57;12,98;13,26;29741;12,3;3333;2110;5,24
Saint-Maur-des-Fossés;Val-de-Marne;94068;22,95;25,17;22,37;21,12;12640;14,5;5349;876;5,15
Mérignac;Gironde;33281;14,80;17,84;13,82;14,38;11365;6,6;3468;763;5,12
Saint-Nazaire;Loire-Atlantique;44184;12,78;14,55;11,70;12,38;9524;10,7;3000;777;5,11
Albi;Tarn;81004;11,23;14,21;9,65;9,34;11946;21,8;2646;387;5,09
Nantes;Loire-Atlantique;44109;14,50;16,57;13,62;14,35;65568;7,3;3452;4374;5,04
Toulouse;Haute-Garonne;31555;13,98;16,33;12,83;12,86;225512;3,7;3378;7557;4,97
Castelnau-le-Lez;Hérault;34057;16,08;18,04;14,76;15,71;9253;9,4;3887;309;4,96
Nice;Alpes-Maritimes;06088;20,43;22,74;19,73;21,60;71615;19,8;4959;7865;4,94
Saint-Quentin;Aisne;02691;11,04;12,47;9,51;8,47;12224;12,5;2713;384;4,88
Courbevoie;Hauts-de-Seine;92026;27,28;30,55;25,88;24,01;12287;15,7;6725;1005;4,87
Cagnes-sur-Mer;Alpes-Maritimes;06027;19,56;22,11;18,61;19,93;9586;13,0;4883;937;4,81
Rennes;Ille-et-Vilaine;35238;14,87;17,19;13,86;15,28;48789;11,0;3721;2993;4,80
Talence;Gironde;33522;15,56;18,40;14,00;14,99;10574;8,5;3946;429;4,73
Annecy;Haute-Savoie;74010;20,45;20,92;17,97;18,66;16239;16,7;5196;1694;4,72
Asnières-sur-Seine;Hauts-de-Seine;92004;24,55;27,46;22,89;24,59;13803;12,9;6278;1242;4,69
Lille;Nord;59350;15,76;18,09;14,61;12,74;77376;7,5;4033;3637;4,69
Aix-en-Provence;Bouches-du-Rhône;13001;19,14;21,95;17,51;19,67;52857;12,6;4914;2026;4,67
Antibes;Alpes-Maritimes;06004;20,25;22,74;19,73;20,40;15575;15,1;5278;2035;4,60
Versailles;Yvelines;78646;24,31;26,40;23,61;24,34;14588;12,1;6489;930;4,49
Lyon;Rhône;69123;16,57;19,12;15,32;16,52;144607;9,0;4516;7586;4,40
Issy-les-Moulineaux;Hauts-de-Seine;92040;27,87;30,09;27,25;25,45;12404;13,0;7658;715;4,37
Bordeaux;Gironde;33063;15,99;18,54;14,60;15,51;84641;4,1;4412;4280;4,35
Saint-Germain-en-Laye;Yvelines;78551;23,54;26,40;22,14;26,05;10697;5,7;6496;500;4,35
Vannes;Morbihan;56260;14,05;15,88;13,00;13,18;9675;15,6;3948;749;4,27
Boulogne-Billancourt;Hauts-de-Seine;92012;29,73;31,97;28,52;27,49;20474;14,6;8406;1695;4,24
Cannes;Alpes-Maritimes;06029;20,27;22,80;19,51;22,33;16391;16,0;5856;2529;4,15
Levallois-Perret;Hauts-de-Seine;92044;30,74;32,30;30,88;24,01;11181;13,3;9131;970;4,04
Paris;Paris;75056;32,13;33,96;31,67;24,66;269792;12,4;9803;31541;3,93
Neuilly-sur-Seine;Hauts-de-Seine;92051;34,09;36,60;33,62;26,23;10604;16,0;10464;968;3,91
La Rochelle;Charente-Maritime;17300;14,75;17,23;13,00;14,59;11819;4,9;4936;1020;3,59
Colmar;Haut-Rhin;68066;12,66;14,78;12,02;12,52;12615;8,7;;;
Metz;Moselle;57463;13,38;15,60;11,06;12,95;25684;23,1;;;
Mulhouse;Haut-Rhin;68224;11,79;13,89;10,66;11,55;25776;11,4;;;
Strasbourg;Bas-Rhin;67482;15,57;18,18;14,15;15,74;59541;11,8;;;
